Rank,Title,Year,Rating
129,Up    ,2009, 8.3/10 
130,Mr. Smith Goes to Washington    ,1939, 8.3/10 
131,Downfall    ,2004, 8.3/10 
132,On the Waterfront    ,1954, 8.3/10 
133,Raging Bull    ,1980, 8.3/10 
134,Good Will Hunting    ,1997, 8.3/10 
135,The Great Escape    ,1963, 8.3/10 
136,Ran    ,1985, 8.3/10 
137,The Gold Rush    ,1925, 8.3/10 
138,The General    ,1926, 8.3/10 
139,My Neighbor Totoro    ,1988, 8.3/10 
140,Wild Strawberries    ,1957, 8.3/10 
141,Chinatown    ,1974, 8.3/10 
142,Judgment at Nuremberg    ,1961, 8.3/10 
143,Heat    ,1995, 8.3/10 
144,Kahaani    ,2012, 8.2/10 
145,Die Hard    ,1988, 8.2/10 
146,The Seventh Seal    ,1957, 8.2/10 
147,The Secret in Their Eyes    ,2009, 8.2/10 
148,Pan's Labyrinth    ,2006, 8.2/10 
149,The Bridge on the River Kwai    ,1957, 8.2/10 
150,Howl's Moving Castle    ,2004, 8.2/10 
151,Blade Runner    ,1982, 8.2/10 
152,Warrior    ,2011, 8.2/10 
153,Incendies    ,2010, 8.2/10 
154,The Wages of Fear    ,1953, 8.2/10 
155,"Lock, Stock and Two Smoking Barrels    ",1998, 8.2/10 
156,The Wolf of Wall Street    ,2013, 8.2/10 
157,The Elephant Man    ,1980, 8.2/10 
158,V for Vendetta    ,2005, 8.2/10 
159,Rebecca    ,1940, 8.2/10 
160,Barfi!    ,2012, 8.2/10 
161,It Happened One Night    ,1934, 8.2/10 
162,Casino    ,1995, 8.2/10 
163,Gone with the Wind    ,1939, 8.2/10 
164,The Big Lebowski    ,1998, 8.2/10 
165,Cool Hand Luke    ,1967, 8.2/10 
166,A Beautiful Mind    ,2001, 8.2/10 
167,How to Train Your Dragon    ,2010, 8.2/10 
168,Gran Torino    ,2008, 8.2/10 
169,Mad Max: Fury Road    ,2015, 8.2/10 
170,Mary and Max    ,2009, 8.2/10 
171,Dial M for Murder    ,1954, 8.2/10 
172,Lagaan: Once Upon a Time in India    ,2001, 8.2/10 
173,The Deer Hunter    ,1978, 8.2/10 
174,Into the Wild    ,2007, 8.2/10 
175,Bajrangi Bhaijaan    ,2015, 8.2/10 
176,Trainspotting    ,1996, 8.2/10 
177,My Sassy Girl    ,2001, 8.2/10 
178,The Best Years of Our Lives    ,1946, 8.2/10 
179,Rush    ,2013, 8.2/10 
180,Persona    ,1966, 8.2/10 
181,The Maltese Falcon    ,1941, 8.2/10 
182,Hachi: A Dog's Tale    ,2009, 8.2/10 
183,The 400 Blows    ,1959, 8.2/10 
184,Fargo    ,1996, 8.2/10 
185,Stalker    ,1979, 8.2/10 
186,Wild Tales    ,2014, 8.2/10 
187,The Thing    ,1982, 8.2/10 
188,Gone Girl    ,2014, 8.2/10 
189,Finding Nemo    ,2003, 8.1/10 
190,The Sixth Sense    ,1999, 8.1/10 
191,Tae Guk Gi: The Brotherhood of War    ,2004, 8.1/10 
192,Diabolique    ,1955, 8.1/10 
193,Network    ,1976, 8.1/10 
194,The Battle of Algiers    ,1966, 8.1/10 
195,Throne of Blood    ,1957, 8.1/10 
196,The Princess Bride    ,1987, 8.1/10 
197,Hotel Rwanda    ,2004, 8.1/10 
198,Life of Brian    ,1979, 8.1/10 
199,Touch of Evil    ,1958, 8.1/10 
200,No Country for Old Men    ,2007, 8.1/10 
201,Underground    ,1995, 8.1/10 
202,The Grapes of Wrath    ,1940, 8.1/10 
203,The Legend of 1900    ,1998, 8.1/10 
204,Butch Cassidy and the Sundance Kid    ,1969, 8.1/10 
205,Kill Bill: Vol. 1    ,2003, 8.1/10 
206,Nausicaä of the Valley of the Wind    ,1984, 8.1/10 
207,"Black Cat, White Cat    ",1998, 8.1/10 
208,Fanny and Alexander    ,1982, 8.1/10 
209,Platoon    ,1986, 8.1/10 
210,In the Name of the Father    ,1993, 8.1/10 
211,There Will Be Blood    ,2007, 8.1/10 
212,Baby    ,2015, 8.1/10 
213,8½    ,1963, 8.1/10 
214,The Avengers    ,2012, 8.1/10 
215,The Martian    ,2015, 8.1/10 
216,Stand by Me    ,1986, 8.1/10 
217,Amores Perros    ,2000, 8.1/10 
218,What Ever Happened to Baby Jane?    ,1962, 8.1/10 
219,Ben-Hur    ,1959, 8.1/10 
220,12 Years a Slave    ,2013, 8.1/10 
221,The Last Picture Show    ,1971, 8.1/10 
222,Zindagi Na Milegi Dobara    ,2011, 8.1/10 
223,Le Samouraï    ,1967, 8.1/10 
224,Laura    ,1944, 8.1/10 
225,The Grand Budapest Hotel    ,2014, 8.1/10 
226,Shutter Island    ,2010, 8.1/10 
227,Annie Hall    ,1977, 8.1/10 
228,Memories of Murder    ,2003, 8.1/10 
229,Departures    ,2008, 8.1/10 
230,Infernal Affairs    ,2002, 8.1/10 
231,Harry Potter and the Deathly Hallows: Part 2    ,2011, 8.1/10 
232,Million Dollar Baby    ,2004, 8.1/10 
233,Chungking Express    ,1994, 8.1/10 
234,Donnie Darko    ,2001, 8.1/10 
235,Gandhi    ,1982, 8.1/10 
236,Before Sunrise    ,1995, 8.1/10 
237,La Haine    ,1995, 8.1/10 
238,3-Iron    ,2004, 8.1/10 
239,Cat on a Hot Tin Roof    ,1958, 8.1/10 
240,Solaris    ,1972, 8.1/10 
241,Barry Lyndon    ,1975, 8.1/10 
242,"Paris, Texas    ",1984, 8.1/10 
243,Who's Afraid of Virginia Woolf?    ,1966, 8.1/10 
244,La Dolce Vita    ,1960, 8.1/10 
245,Guardians of the Galaxy    ,2014, 8.1/10 
246,La Strada    ,1954, 8.1/10 
247,The Cabinet of Dr. Caligari    ,1920, 8.1/10 
248,Strangers on a Train    ,1951, 8.1/10 
249,"Spring, Summer, Fall, Winter... and Spring    ",2003, 8.1/10 
250,Elite Squad: The Enemy Within    ,2010, 8.1/10 
251,Sleuth    ,1972, 8.1/10 
252,The Celebration    ,1998, 8.1/10 
253,The Bourne Ultimatum    ,2007, 8.1/10 
254,The Wizard of Oz    ,1939, 8.1/10 
255,Castle in the Sky    ,1986, 8.1/10 
256,Wings of Desire    ,1987, 8.1/10 
257,Ip Man    ,2008, 8.1/10 
258,Sin City    ,2005, 8.1/10 
259,Three Colors: Red    ,1994, 8.1/10 
260,Jurassic Park    ,1993, 8.1/10 
261,In the Mood for Love    ,2000, 8.1/10 
262,The Imitation Game    ,2014, 8.1/10 
263,Roman Holiday    ,1953, 8.1/10 
264,Elite Squad    ,2007, 8.1/10 
265,Anatomy of a Murder    ,1959, 8.1/10 
266,The Man Who Shot Liberty Valance    ,1962, 8.1/10 
267,High Noon    ,1952, 8.1/10 
268,Rocky    ,1976, 8.1/10 
269,Notorious    ,1946, 8.1/10 
270,The Philadelphia Story    ,1940, 8.1/10 
271,The Help    ,2011, 8.1/10 
272,Stalag 17    ,1953, 8.1/10 
273,Arsenic and Old Lace    ,1944, 8.1/10 
274,The Night of the Hunter    ,1955, 8.1/10 
275,The Hateful Eight    ,2015, 8.1/10 
276,Akira    ,1988, 8.1/10 
277,The Sea Inside    ,2004, 8.1/10 
278,Harvey    ,1950, 8.1/10 
279,Twelve Monkeys    ,1995, 8.1/10 
280,"Monsters, Inc.    ",2001, 8.1/10 
281,The Big Sleep    ,1946, 8.1/10 
282,Groundhog Day    ,1993, 8.1/10 
283,The Hustler    ,1961, 8.1/10 
284,A Christmas Story    ,1983, 8.1/10 
285,The Killing    ,1956, 8.1/10 
286,Rio Bravo    ,1959, 8.1/10 
287,The Truman Show    ,1998, 8.1/10 
288,The Terminator    ,1984, 8.1/10 
289,Pirates of the Caribbean: The Curse of the Black Pearl    ,2003, 8.1/10 
290,Straight Outta Compton    ,2015, 8.1/10 
291,Prisoners    ,2013, 8.1/10 
292,A Streetcar Named Desire    ,1951, 8.1/10 
293,Jaws    ,1975, 8.1/10 
294,All Quiet on the Western Front    ,1930, 8.1/10 
295,Dog Day Afternoon    ,1975, 8.1/10 
296,Dogville    ,2003, 8.1/10 
297,Young Frankenstein    ,1974, 8.1/10 
298,Before Sunset    ,2004, 8.0/10 
299,A Fistful of Dollars    ,1964, 8.0/10 
300,Kal Ho Naa Ho    ,2003, 8.0/10 
301,The King's Speech    ,2010, 8.0/10 
302,Papillon    ,1973, 8.0/10 
303,X-Men: Days of Future Past    ,2014, 8.0/10 
304,Persepolis    ,2007, 8.0/10 
305,Sling Blade    ,1996, 8.0/10 
306,The Diving Bell and the Butterfly    ,2007, 8.0/10 
307,Pink Floyd The Wall    ,1982, 8.0/10 
308,Beauty and the Beast    ,1991, 8.0/10 
309,Creed    ,2015, 8.0/10 
310,The Wild Bunch    ,1969, 8.0/10 
311,Harold and Maude    ,1971, 8.0/10 
312,His Girl Friday    ,1940, 8.0/10 
313,The Perks of Being a Wallflower    ,2012, 8.0/10 
314,Rope    ,1948, 8.0/10 
315,The Manchurian Candidate    ,1962, 8.0/10 
316,The Nightmare Before Christmas    ,1993, 8.0/10 
317,The Graduate    ,1967, 8.0/10 
318,East of Eden    ,1955, 8.0/10 
319,Blood Diamond    ,2006, 8.0/10 
320,This Is Spinal Tap    ,1984, 8.0/10 
321,Magnolia    ,1999, 8.0/10 
322,The Return    ,2003, 8.0/10 
323,Big Fish    ,2003, 8.0/10 
324,Catch Me If You Can    ,2002, 8.0/10 
325,Patton    ,1970, 8.0/10 
326,Duck Soup    ,1933, 8.0/10 
327,JFK    ,1991, 8.0/10 
328,Bringing Up Baby    ,1938, 8.0/10 
329,Crimes and Misdemeanors    ,1989, 8.0/10 
330,The Raid 2    ,2014, 8.0/10 
331,The Exorcist    ,1973, 8.0/10 
332,The Straight Story    ,1999, 8.0/10 
333,The Big Short    ,2015, 8.0/10 
334,"Aguirre, the Wrath of God    ",1972, 8.0/10 
335,Dead Poets Society    ,1989, 8.0/10 
336,Manhattan    ,1979, 8.0/10 
337,Slumdog Millionaire    ,2008, 8.0/10 
338,Star Trek    ,2009, 8.0/10 
339,Rain Man    ,1988, 8.0/10 
340,Waltz with Bashir    ,2008, 8.0/10 
341,Jab We Met    ,2007, 8.0/10 
342,Brazil    ,1985, 8.0/10 
343,Talk to Her    ,2002, 8.0/10 
344,Being There    ,1979, 8.0/10 
345,Short Term 12    ,2013, 8.0/10 
346,The Adventures of Robin Hood    ,1938, 8.0/10 
347,Central Station    ,1998, 8.0/10 
348,Nosferatu    ,1922, 8.0/10 
349,Whisper of the Heart    ,1995, 8.0/10 
350,Charade    ,1963, 8.0/10 
351,Doctor Zhivago    ,1965, 8.0/10 
352,Dances with Wolves    ,1990, 8.0/10 
353,Ghost in the Shell    ,1995, 8.0/10 
354,All the President's Men    ,1976, 8.0/10 
355,Ratatouille    ,2007, 8.0/10 
356,Cinderella Man    ,2005, 8.0/10 
357,Dawn of the Dead    ,1978, 8.0/10 
358,Battleship Potemkin    ,1925, 8.0/10 
359,In the Heat of the Night    ,1967, 8.0/10 
360,Dancer in the Dark    ,2000, 8.0/10 
361,Aladdin    ,1992, 8.0/10 
362,The Searchers    ,1956, 8.0/10 
363,Secrets & Lies    ,1996, 8.0/10 
364,Black Swan    ,2010, 8.0/10 
365,Her    ,2013, 8.0/10 
366,No Man's Land    ,2001, 8.0/10 
367,The Sound of Music    ,1965, 8.0/10 
368,Kill Bill: Vol. 2    ,2004, 8.0/10 
369,Shadow of a Doubt    ,1943, 8.0/10 
370,Dallas Buyers Club    ,2013, 8.0/10 
371,Boyhood    ,2014, 8.0/10 
372,Days of Heaven    ,1978, 8.0/10 
373,C.R.A.Z.Y.    ,2005, 8.0/10 
374,Fiddler on the Roof    ,1971, 8.0/10 
375,Special 26    ,2013, 8.0/10 
376,Head-On    ,2004, 8.0/10 
377,Casino Royale    ,2006, 8.0/10 
378,District 9    ,2009, 8.0/10 
379,The Iron Giant    ,1999, 8.0/10 
380,Rosemary's Baby    ,1968, 8.0/10 
381,Scent of a Woman    ,1992, 8.0/10 
382,Three Colors: Blue    ,1993, 8.0/10 
383,Shaun of the Dead    ,2004, 8.0/10 
384,Hannah and Her Sisters    ,1986, 8.0/10 
385,Life of Pi    ,2012, 8.0/10 
386,Frankenstein    ,1931, 8.0/10 
387,Amarcord    ,1973, 8.0/10 
388,Mystic River    ,2003, 8.0/10 
389,Planet of the Apes    ,1968, 8.0/10 
390,Let the Right One In    ,2008, 8.0/10 
391,The Artist    ,2011, 8.0/10 
392,The Lady Vanishes    ,1938, 8.0/10 
393,The Discreet Charm of the Bourgeoisie    ,1972, 8.0/10 
394,Mulholland Dr.    ,2001, 8.0/10 
395,The Incredibles    ,2004, 8.0/10 
396,Serenity    ,2005, 8.0/10 
397,Night of the Living Dead    ,1968, 8.0/10 
398,True Romance    ,1993, 8.0/10 
399,King Kong    ,1933, 8.0/10 
400,Breathless    ,1960, 8.0/10 
401,In Bruges    ,2008, 8.0/10 
402,The Man from Earth    ,2007, 8.0/10 
403,Moon    ,2009, 8.0/10 
404,Freaks    ,1932, 8.0/10 
405,My Name Is Khan    ,2010, 8.0/10 
406,Edward Scissorhands    ,1990, 8.0/10 
407,The Untouchables    ,1987, 8.0/10 
408,The Pursuit of Happyness    ,2006, 7.9/10 
409,Spartacus    ,1960, 7.9/10 
410,Letters from Iwo Jima    ,2006, 7.9/10 
411,The Blues Brothers    ,1980, 7.9/10 
412,The Hobbit: An Unexpected Journey    ,2012, 7.9/10 
413,Almost Famous    ,2000, 7.9/10 
414,The Breakfast Club    ,1985, 7.9/10 
415,Midnight Cowboy    ,1969, 7.9/10 
416,The Conversation    ,1974, 7.9/10 
417,Before Midnight    ,2013, 7.9/10 
418,The Hobbit: The Desolation of Smaug    ,2013, 7.9/10 
419,The Remains of the Day    ,1993, 7.9/10 
420,The African Queen    ,1951, 7.9/10 
421,Hero    ,2002, 7.9/10 
422,Glory    ,1989, 7.9/10 
423,The Bourne Identity    ,2002, 7.9/10 
424,Edge of Tomorrow    ,2014, 7.9/10 
425,Nine Queens    ,2000, 7.9/10 
426,The Wrestler    ,2008, 7.9/10 
427,Key Largo    ,1948, 7.9/10 
428,Once    ,2007, 7.9/10 
429,The Notebook    ,2004, 7.9/10 
430,"4 Months, 3 Weeks and 2 Days    ",2007, 7.9/10 
431,Cowboy Bebop: The Movie    ,2001, 7.9/10 
432,Bride of Frankenstein    ,1935, 7.9/10 
433,The Killing Fields    ,1984, 7.9/10 
434,The Quiet Man    ,1952, 7.9/10 
435,The Chaser    ,2008, 7.9/10 
436,Toy Story 2    ,1999, 7.9/10 
437,The Outlaw Josey Wales    ,1976, 7.9/10 
438,Children of Men    ,2006, 7.9/10 
439,All About My Mother    ,1999, 7.9/10 
440,A Prophet    ,2009, 7.9/10 
441,Do the Right Thing    ,1989, 7.9/10 
442,Bonnie and Clyde    ,1967, 7.9/10 
443,Ninja Scroll    ,1993, 7.9/10 
444,Badlands    ,1973, 7.9/10 
445,The Killer    ,1989, 7.9/10 
446,G.O.R.A.    ,2004, 7.9/10 
447,Breaking the Waves    ,1996, 7.9/10 
448,Hard Boiled    ,1992, 7.9/10 
449,The Man Who Would Be King    ,1975, 7.9/10 
450,Stagecoach    ,1939, 7.9/10 
451,The Fall    ,2006, 7.9/10 
452,The Insider    ,1999, 7.9/10 
453,Ed Wood    ,1994, 7.9/10 
454,How to Train Your Dragon 2    ,2014, 7.9/10 
455,The Right Stuff    ,1983, 7.9/10 
456,"Crouching Tiger, Hidden Dragon    ",2000, 7.9/10 
457,The Chorus    ,2004, 7.9/10 
458,Carlito's Way    ,1993, 7.9/10 
459,Iron Man    ,2008, 7.9/10 
460,Walk the Line    ,2005, 7.9/10 
461,Mr. Nobody    ,2009, 7.9/10 
462,My Fair Lady    ,1964, 7.9/10 
463,The Double Life of Veronique    ,1991, 7.9/10 
464,Jules and Jim    ,1962, 7.9/10 
465,The Boondock Saints    ,1999, 7.9/10 
466,Lilya 4-Ever    ,2002, 7.9/10 
467,Shrek    ,2001, 7.9/10 
468,Miracle on 34th Street    ,1947, 7.9/10 
469,The Past    ,2013, 7.9/10 
470,The Ten Commandments    ,1956, 7.9/10 
471,Avatar    ,2009, 7.9/10 
472,Big Hero 6    ,2014, 7.9/10 
473,My Left Foot    ,1989, 7.9/10 
474,Nightcrawler    ,2014, 7.9/10 
475,Boogie Nights    ,1997, 7.9/10 
476,Crash    ,2004, 7.9/10 
477,Miller's Crossing    ,1990, 7.9/10 
478,The Edge of Heaven    ,2007, 7.9/10 
479,The Fault in Our Stars    ,2014, 7.9/10 
480,The Fighter    ,2010, 7.9/10 
481,Halloween    ,1978, 7.9/10 
482,Cabaret    ,1972, 7.9/10 
483,Captain Phillips    ,2013, 7.9/10 
484,Kiki's Delivery Service    ,1989, 7.9/10 
485,The Man from Nowhere    ,2010, 7.9/10 
486,Taken    ,2008, 7.9/10 
487,Hot Fuzz    ,2007, 7.9/10 
488,Gravity    ,2013, 7.9/10 
489,The Girl Who Leapt Through Time    ,2006, 7.9/10 
490,The World's Fastest Indian    ,2005, 7.9/10 
491,Little Miss Sunshine    ,2006, 7.9/10 
492,Ferris Bueller's Day Off    ,1986, 7.9/10 
493,Amour    ,2012, 7.9/10 
494,Veer-Zaara    ,2004, 7.9/10 
495,Down by Law    ,1986, 7.9/10 
496,Batman: Mask of the Phantasm    ,1993, 7.9/10 
497,Blue Is the Warmest Color    ,2013, 7.9/10 
498,E.T. the Extra-Terrestrial    ,1982, 7.9/10 
499,Beasts of No Nation    ,2015, 7.8/10 
500,The Girl with the Dragon Tattoo    ,2011, 7.8/10 
501,Clerks    ,1994, 7.8/10 
502,Glengarry Glen Ross    ,1992, 7.8/10 
503,The Girl with the Dragon Tattoo    ,2009, 7.8/10 
504,Tombstone    ,1993, 7.8/10 
505,The 39 Steps    ,1935, 7.8/10 
506,Adam's Apples    ,2005, 7.8/10 
507,Predator    ,1987, 7.8/10 
508,The Day of the Jackal    ,1973, 7.8/10 
509,Ordinary People    ,1980, 7.8/10 
510,I Saw the Devil    ,2010, 7.8/10 
511,The Best Offer    ,2013, 7.8/10 
512,The Motorcycle Diaries    ,2004, 7.8/10 
513,Withnail & I    ,1987, 7.8/10 
514,The Triplets of Belleville    ,2003, 7.8/10 
515,Vicky Donor    ,2012, 7.8/10 
516,The Day the Earth Stood Still    ,1951, 7.8/10 
517,Evil    ,2003, 7.8/10 
518,Misery    ,1990, 7.8/10 
519,Black Book    ,2006, 7.8/10 
520,Hamlet    ,1996, 7.8/10 
521,Evil Dead II    ,1987, 7.8/10 
522,Drive    ,2011, 7.8/10 
523,About Time    ,2013, 7.8/10 
524,Back to the Future Part II    ,1989, 7.8/10 
525,Mother    ,2009, 7.8/10 
526,Me and Earl and the Dying Girl    ,2015, 7.8/10 
527,Mississippi Burning    ,1988, 7.8/10 
528,Kuch Kuch Hota Hai    ,1998, 7.8/10 
529,Tangled    ,2010, 7.8/10 
530,American Gangster    ,2007, 7.8/10 
531,Open Your Eyes    ,1997, 7.8/10 
532,Fantastic Mr. Fox    ,2009, 7.8/10 
533,Office Space    ,1999, 7.8/10 
534,Willy Wonka & the Chocolate Factory    ,1971, 7.8/10 
535,Fantasia    ,1940, 7.8/10 
536,The Wind Rises    ,2013, 7.8/10 
537,The Magnificent Seven    ,1960, 7.8/10 
538,Silver Linings Playbook    ,2012, 7.8/10 
539,October Sky    ,1999, 7.8/10 
540,Gattaca    ,1997, 7.8/10 
541,Birdman or (The Unexpected Virtue of Ignorance)    ,2014, 7.8/10 
542,Waking Life    ,2001, 7.8/10 
543,Belle de Jour    ,1967, 7.8/10 
544,The Boy in the Striped Pajamas    ,2008, 7.8/10 
545,Moonrise Kingdom    ,2012, 7.8/10 
546,Love and Death    ,1975, 7.8/10 
547,Star Trek Into Darkness    ,2013, 7.8/10 
548,Empire of the Sun    ,1987, 7.8/10 
549,Blue Velvet    ,1986, 7.8/10 
550,The White Ribbon    ,2009, 7.8/10 
551,Ghostbusters    ,1984, 7.8/10 
552,Pride & Prejudice    ,2005, 7.8/10 
553,Porco Rosso    ,1992, 7.8/10 
554,Apocalypto    ,2006, 7.8/10 
555,Repulsion    ,1965, 7.8/10 
556,Zelig    ,1983, 7.8/10 
557,In America    ,2002, 7.8/10 
558,The French Connection    ,1971, 7.8/10 
559,Rebel Without a Cause    ,1955, 7.8/10 
560,Guess Who's Coming to Dinner    ,1967, 7.8/10 
561,The Curious Case of Benjamin Button    ,2008, 7.8/10 
562,Happiness    ,1998, 7.8/10 
563,Harry Potter and the Prisoner of Azkaban    ,2004, 7.8/10 
564,Dirty Harry    ,1971, 7.8/10 
565,The Lunchbox    ,2013, 7.8/10 
566,Hedwig and the Angry Inch    ,2001, 7.8/10 
567,The Lego Movie    ,2014, 7.8/10 
568,The Last of the Mohicans    ,1992, 7.8/10 
569,The Dirty Dozen    ,1967, 7.8/10 
570,Atonement    ,2007, 7.8/10 
571,Zulu    ,1964, 7.8/10 
572,The Goonies    ,1985, 7.8/10 
573,Invasion of the Body Snatchers    ,1956, 7.8/10 
574,"O Brother, Where Art Thou?    ",2000, 7.8/10 
575,Airplane!    ,1980, 7.8/10 
576,The Fugitive    ,1993, 7.8/10 
577,The Longest Day    ,1962, 7.8/10 
578,The Color Purple    ,1985, 7.8/10 
579,Night on Earth    ,1991, 7.8/10 
580,Captain America: The Winter Soldier    ,2014, 7.8/10 
581,The Hangover    ,2009, 7.8/10 
582,X-Men: First Class    ,2011, 7.8/10 
583,The Verdict    ,1982, 7.8/10 
584,Wreck-It Ralph    ,2012, 7.8/10 
585,Kingsman: The Secret Service    ,2014, 7.8/10 
586,Once Upon a Time in Anatolia    ,2011, 7.8/10 
587,Sicario    ,2015, 7.8/10 
588,The Last Emperor    ,1987, 7.8/10 
589,South Park: Bigger Longer & Uncut    ,1999, 7.8/10 
