Rank,Title,Year,Rating
1,The Shawshank Redemption    ,1994, 9.3/10 
2,The Godfather    ,1972, 9.2/10 
3,The Godfather: Part II    ,1974, 9.0/10 
4,The Dark Knight    ,2008, 9.0/10 
5,12 Angry Men    ,1957, 8.9/10 
6,Pulp Fiction    ,1994, 8.9/10 
7,Schindler's List    ,1993, 8.9/10 
8,The Lord of the Rings: The Return of the King    ,2003, 8.9/10 
9,"The Good, the Bad and the Ugly    ",1966, 8.9/10 
10,Fight Club    ,1999, 8.9/10 
11,The Lord of the Rings: The Fellowship of the Ring    ,2001, 8.8/10 
12,Inception    ,2010, 8.8/10 
13,Star Wars: Episode V - The Empire Strikes Back    ,1980, 8.8/10 
14,Forrest Gump    ,1994, 8.8/10 
15,The Lord of the Rings: The Two Towers    ,2002, 8.7/10 
16,One Flew Over the Cuckoo's Nest    ,1975, 8.7/10 
17,Goodfellas    ,1990, 8.7/10 
18,Seven Samurai    ,1954, 8.7/10 
19,The Matrix    ,1999, 8.7/10 
20,Star Wars    ,1977, 8.7/10 
21,City of God    ,2002, 8.7/10 
22,Baahubali: The Beginning    ,2015, 8.6/10 
23,It's a Wonderful Life    ,1946, 8.6/10 
24,Interstellar    ,2014, 8.6/10 
25,Se7en    ,1995, 8.6/10 
26,The Usual Suspects    ,1995, 8.6/10 
27,Life Is Beautiful    ,1997, 8.6/10 
28,The Silence of the Lambs    ,1991, 8.6/10 
29,Once Upon a Time in the West    ,1968, 8.6/10 
30,Léon: The Professional    ,1994, 8.6/10 
31,City Lights    ,1931, 8.6/10 
32,Spirited Away    ,2001, 8.6/10 
33,The Intouchables    ,2011, 8.6/10 
34,Casablanca    ,1942, 8.6/10 
35,Saving Private Ryan    ,1998, 8.6/10 
36,American History X    ,1998, 8.6/10 
37,Modern Times    ,1936, 8.6/10 
38,Raiders of the Lost Ark    ,1981, 8.5/10 
39,Psycho    ,1960, 8.5/10 
40,Rear Window    ,1954, 8.5/10 
41,The Green Mile    ,1999, 8.5/10 
42,Whiplash    ,2014, 8.5/10 
43,The Pianist    ,2002, 8.5/10 
44,Terminator 2: Judgment Day    ,1991, 8.5/10 
45,The Departed    ,2006, 8.5/10 
46,Gladiator    ,2000, 8.5/10 
47,Sholay    ,1975, 8.5/10 
48,Back to the Future    ,1985, 8.5/10 
49,Sunset Blvd.    ,1950, 8.5/10 
50,Memento    ,2000, 8.5/10 
51,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb    ,1964, 8.5/10 
52,The Prestige    ,2006, 8.5/10 
53,Apocalypse Now    ,1979, 8.5/10 
54,Cinema Paradiso    ,1988, 8.5/10 
55,The Dark Knight Rises    ,2012, 8.5/10 
56,The Great Dictator    ,1940, 8.5/10 
57,The Lion King    ,1994, 8.5/10 
58,The Lives of Others    ,2006, 8.5/10 
59,Alien    ,1979, 8.5/10 
60,Paths of Glory    ,1957, 8.5/10 
61,Grave of the Fireflies    ,1988, 8.5/10 
62,Django Unchained    ,2012, 8.5/10 
63,Star Wars: The Force Awakens    ,2015, 8.5/10 
64,3 Idiots    ,2009, 8.4/10 
65,The Shining    ,1980, 8.4/10 
66,Witness for the Prosecution    ,1957, 8.4/10 
67,WALL·E    ,2008, 8.4/10 
68,Princess Mononoke    ,1997, 8.4/10 
69,Das Boot    ,1981, 8.4/10 
70,M    ,1931, 8.4/10 
71,American Beauty    ,1999, 8.4/10 
72,Queen    ,2014, 8.4/10 
73,Once Upon a Time in America    ,1984, 8.4/10 
74,Aliens    ,1986, 8.4/10 
75,Oldboy    ,2003, 8.4/10 
76,Citizen Kane    ,1941, 8.4/10 
77,North by Northwest    ,1959, 8.4/10 
78,A Separation    ,2011, 8.4/10 
79,Amélie    ,2001, 8.4/10 
80,Vertigo    ,1958, 8.4/10 
81,Double Indemnity    ,1944, 8.4/10 
82,Star Wars: Episode VI - Return of the Jedi    ,1983, 8.4/10 
83,Braveheart    ,1995, 8.4/10 
84,Requiem for a Dream    ,2000, 8.4/10 
85,To Kill a Mockingbird    ,1962, 8.4/10 
86,Lawrence of Arabia    ,1962, 8.4/10 
87,Sunrise    ,1927, 8.4/10 
88,A Clockwork Orange    ,1971, 8.4/10 
89,Reservoir Dogs    ,1992, 8.4/10 
90,Toy Story 3    ,2010, 8.4/10 
91,The Kid    ,1921, 8.4/10 
92,Bicycle Thieves    ,1948, 8.4/10 
93,Chakde! India    ,2007, 8.4/10 
94,Eternal Sunshine of the Spotless Mind    ,2004, 8.4/10 
95,Taxi Driver    ,1976, 8.4/10 
96,Singin' in the Rain    ,1952, 8.3/10 
97,Bhaag Milkha Bhaag    ,2013, 8.3/10 
98,The Sting    ,1973, 8.3/10 
99,Amadeus    ,1984, 8.3/10 
100,All About Eve    ,1950, 8.3/10 
101,Yojimbo    ,1961, 8.3/10 
102,The Revenant    ,2015, 8.3/10 
103,Gangs of Wasseypur    ,2012, 8.3/10 
104,Rashomon    ,1950, 8.3/10 
105,Inside Out    ,2015, 8.3/10 
106,Full Metal Jacket    ,1987, 8.3/10 
107,Monty Python and the Holy Grail    ,1975, 8.3/10 
108,The Treasure of the Sierra Madre    ,1948, 8.3/10 
109,2001: A Space Odyssey    ,1968, 8.3/10 
110,The Apartment    ,1960, 8.3/10 
111,Snatch.    ,2000, 8.3/10 
112,Ikiru    ,1952, 8.3/10 
113,Metropolis    ,1927, 8.3/10 
114,Haider    ,2014, 8.3/10 
115,For a Few Dollars More    ,1965, 8.3/10 
116,The Third Man    ,1949, 8.3/10 
117,Inglourious Basterds    ,2009, 8.3/10 
118,Scarface    ,1983, 8.3/10 
119,Toy Story    ,1995, 8.3/10 
120,Some Like It Hot    ,1959, 8.3/10 
121,L.A. Confidential    ,1997, 8.3/10 
122,Swades    ,2004, 8.3/10 
123,Batman Begins    ,2005, 8.3/10 
124,The Hunt    ,2012, 8.3/10 
125,Dilwale Dulhania Le Jayenge    ,1995, 8.3/10 
126,PK    ,2014, 8.3/10 
127,Indiana Jones and the Last Crusade    ,1989, 8.3/10 
128,Unforgiven    ,1992, 8.3/10 
